UF;MUNICIPIO;TOTAL;MUNICIPIO_clean;id_municipio;longitude;latitude
;                                   ;186;;;;
AC;ACRELÂNDIA                         ;96;ACRELÂNDIA;2.0;-66.897166;-9.825808
AC;ASSIS BRASIL                       ;43;ASSIS BRASIL;3.0;-69.573794;-10.929765
AC;BRASILÉIA                          ;146;BRASILÉIA;4.0;-68.749696;-10.994994
AC;BUJARI                             ;102;BUJARI;5.0;-67.955029;-9.815277
AC;CAPIXABA                           ;111;CAPIXABA;6.0;-67.686006;-10.566031
AC;CRUZEIRO DO SUL                    ;364;CRUZEIRO DO SUL;7.0;-72.675582;-7.627625
AC;EPITACIOLÂNDIA                     ;55;EPITACIOLÂNDIA;8.0;-68.734109;-11.018771
AC;FEIJÓ                              ;251;FEIJÓ;9.0;-70.350973;-8.170536
AC;JORDÃO                             ;82;JORDÃO;10.0;-71.897391;-9.430912
AC;MANOEL URBANO                      ;97;MANOEL URBANO;12.0;-69.267862;-8.832911
AC;MARECHAL THAUMATURGO               ;171;MARECHAL THAUMATURGO;13.0;-72.799704;-8.938983
AC;MÂNCIO LIMA                        ;105;MÂNCIO LIMA;11.0;-72.899708;-7.616575
AC;PLÁCIDO DE CASTRO                  ;103;PLÁCIDO DE CASTRO;14.0;-67.137133;-10.28064
AC;PORTO ACRE                         ;156;PORTO ACRE;15.0;-67.547815;-9.581378
AC;PORTO WALTER                       ;81;PORTO WALTER;16.0;-72.753747;-8.263233
AC;RIO BRANCO                         ;647;RIO BRANCO;17.0;-67.824348;-9.97499
AC;RODRIGUES ALVES                    ;70;RODRIGUES ALVES;18.0;-72.661015;-7.738638
AC;SANTA ROSA DO PURUS                ;27;SANTA ROSA DO PURUS;19.0;-70.49025;-9.446515
AC;SENA MADUREIRA                     ;484;SENA MADUREIRA;21.0;-68.671278;-9.063499
AC;SENADOR GUIOMARD                   ;101;SENADOR GUIOMARD;20.0;-67.736185;-10.149686
AC;TARAUACÁ                           ;363;TARAUACÁ;22.0;-70.772154;-8.156975
AC;XAPURI                             ;201;XAPURI;23.0;-68.496857;-10.651598
AL;ANADIA                             ;3;ANADIA;25.0;-36.307783;-9.684886
AL;ARAPIRACA                          ;73;ARAPIRACA;26.0;-36.661471;-9.754866
AL;ATALAIA                            ;13;ATALAIA;27.0;-36.008552;-9.511898
AL;BARRA DE SANTO ANTÔNIO             ;6;BARRA DE SANTO ANTÔNIO;28.0;-35.510083;-9.402297
AL;BARRA DE SÃO MIGUEL                ;4;BARRA DE SÃO MIGUEL;29.0;-35.905667;-9.83842
AL;BATALHA                            ;4;BATALHA;30.0;-37.133014;-9.674195
AL;BELÉM                              ;2;BELÉM;31.0;-36.490399;-9.570472
AL;BOCA DA MATA                       ;1;BOCA DA MATA;33.0;-36.212498;-9.643082
AL;BRANQUINHA                         ;2;BRANQUINHA;34.0;-36.016152;-9.23342
AL;CACIMBINHAS                        ;3;CACIMBINHAS;35.0;-36.991082;-9.401212
AL;CAJUEIRO                           ;5;CAJUEIRO;36.0;-36.155937;-9.399402
AL;CAMPO ALEGRE                       ;2;CAMPO ALEGRE;38.0;-36.352461;-9.784512
AL;CANAPI                             ;1;CANAPI;40.0;-37.5967;-9.119319
AL;CAPELA                             ;1;CAPELA;41.0;-36.082583;-9.415041
AL;CHÃ PRETA                          ;2;CHÃ PRETA;43.0;-36.298334;-9.255605
AL;COLÔNIA LEOPOLDINA                 ;2;COLÔNIA LEOPOLDINA;45.0;-35.721414;-8.918058
AL;COQUEIRO SECO                      ;1;COQUEIRO SECO;46.0;-35.799377;-9.637147
AL;CORURIPE                           ;5;CORURIPE;47.0;-36.171724;-10.127632
AL;CRAÍBAS                            ;3;CRAÍBAS;48.0;-36.769726;-9.617798
AL;DELMIRO GOUVEIA                    ;8;DELMIRO GOUVEIA;49.0;-37.998676;-9.385336
AL;DOIS RIACHOS                       ;2;DOIS RIACHOS;50.0;-37.096502;-9.384645
AL;ESTRELA DE ALAGOAS                 ;2;ESTRELA DE ALAGOAS;51.0;-36.764407;-9.390894
AL;FEIRA GRANDE                       ;3;FEIRA GRANDE;52.0;-36.681521;-9.898586
AL;FLEXEIRAS                          ;5;FLEXEIRAS;54.0;-35.713933;-9.272807
AL;GIRAU DO PONCIANO                  ;4;GIRAU DO PONCIANO;55.0;-36.831592;-9.884041
AL;IBATEGUARA                         ;2;IBATEGUARA;56.0;-35.937325;-8.978232
AL;IGACI                              ;4;IGACI;57.0;-36.637191;-9.537678
AL;IGREJA NOVA                        ;1;IGREJA NOVA;58.0;-36.659705;-10.123463
AL;INHAPI                             ;1;INHAPI;59.0;-37.750871;-9.225936
AL;JACUÍPE                            ;1;JACUÍPE;61.0;-35.459074;-8.83951
AL;JAPARATINGA                        ;3;JAPARATINGA;62.0;-35.263403;-9.087464
AL;JARAMATAIA                         ;4;JARAMATAIA;63.0;-37.004558;-9.662243
AL;JOAQUIM GOMES                      ;15;JOAQUIM GOMES;65.0;-35.747381;-9.132805
AL;JUNQUEIRO                          ;8;JUNQUEIRO;67.0;-36.480346;-9.906961
AL;LAGOA DA CANOA                     ;1;LAGOA DA CANOA;68.0;-36.741257;-9.832909
AL;MACEIÓ                             ;673;MACEIÓ;70.0;-35.73496;-9.665985
AL;MAJOR ISIDORO                      ;2;MAJOR ISIDORO;71.0;-36.992006;-9.530086
AL;MARAGOGI                           ;4;MARAGOGI;72.0;-35.226692;-9.007443
AL;MARAVILHA                          ;3;MARAVILHA;73.0;-37.352419;-9.230449
AL;MARECHAL DEODORO                   ;22;MARECHAL DEODORO;74.0;-35.896731;-9.709715
AL;MARIBONDO                          ;4;MARIBONDO;75.0;-36.304488;-9.583528
AL;MATA GRANDE                        ;7;MATA GRANDE;77.0;-37.732298;-9.118243
AL;MATRIZ DE CAMARAGIBE               ;2;MATRIZ DE CAMARAGIBE;78.0;-35.524302;-9.154373
AL;MESSIAS                            ;1;MESSIAS;79.0;-35.839182;-9.393843
AL;MINADOR DO NEGRÃO                  ;2;MINADOR DO NEGRÃO;80.0;-36.869553;-9.312358
AL;MONTEIRÓPOLIS                      ;1;MONTEIRÓPOLIS;81.0;-37.250463;-9.603569
AL;MURICI                             ;5;MURICI;82.0;-35.942798;-9.306823
AL;NOVO LINO                          ;5;NOVO LINO;83.0;-35.664001;-8.941905
AL;OLHO D´ÁGUA DAS FLORES             ;2;OLHO D´ÁGUA DAS FLORES;;;
AL;OLHO D´ÁGUA DO CASADO              ;2;OLHO D´ÁGUA DO CASADO;;;
AL;OLHO D´ÁGUA GRANDE                 ;1;OLHO D´ÁGUA GRANDE;;;
AL;OLIVENÇA                           ;1;OLIVENÇA;87.0;-37.195441;-9.519538
AL;OURO BRANCO                        ;3;OURO BRANCO;88.0;-37.355639;-9.158842
AL;PALMEIRA DOS ÍNDIOS                ;29;PALMEIRA DOS ÍNDIOS;90.0;-36.632812;-9.405681
AL;PARIPUEIRA                         ;6;PARIPUEIRA;93.0;-35.551977;-9.463133
AL;PASSO DE CAMARAGIBE                ;3;PASSO DE CAMARAGIBE;94.0;-35.47449;-9.24511
AL;PAULO JACINTO                      ;2;PAULO JACINTO;95.0;-36.367241;-9.367918
AL;PENEDO                             ;20;PENEDO;96.0;-36.581905;-10.287422
AL;PILAR                              ;14;PILAR;98.0;-35.954294;-9.601348
AL;PIRANHAS                           ;3;PIRANHAS;100.0;-37.756987;-9.623996
AL;PORTO CALVO                        ;8;PORTO CALVO;102.0;-35.398653;-9.051948
AL;PORTO REAL DO COLÉGIO              ;1;PORTO REAL DO COLÉGIO;104.0;-36.837551;-10.18489
AL;PÃO DE AÇÚCAR                      ;7;PÃO DE AÇÚCAR;91.0;-37.440336;-9.740325
AL;QUEBRANGULO                        ;6;QUEBRANGULO;105.0;-36.469239;-9.32001
AL;RIO LARGO                          ;17;RIO LARGO;106.0;-35.839435;-9.477829
AL;SANTA LUZIA DO NORTE               ;4;SANTA LUZIA DO NORTE;108.0;-35.823196;-9.6037
AL;SANTANA DO IPANEMA                 ;8;SANTANA DO IPANEMA;109.0;-37.248018;-9.369989
AL;SANTANA DO MUNDAÚ                  ;2;SANTANA DO MUNDAÚ;110.0;-36.217608;-9.171413
AL;SATUBA                             ;7;SATUBA;118.0;-35.822697;-9.569113
AL;SÃO JOSÉ DA LAJE                   ;4;SÃO JOSÉ DA LAJE;112.0;-36.051489;-9.012779
AL;SÃO JOSÉ DA TAPERA                 ;1;SÃO JOSÉ DA TAPERA;113.0;-37.383125;-9.557684
AL;SÃO LUÍS DO QUITUNDE               ;9;SÃO LUÍS DO QUITUNDE;114.0;-35.560553;-9.31816
AL;SÃO MIGUEL DOS CAMPOS              ;8;SÃO MIGUEL DOS CAMPOS;115.0;-36.097142;-9.78301
AL;SÃO SEBASTIÃO                      ;2;SÃO SEBASTIÃO;117.0;-36.558967;-9.930434
AL;TAQUARANA                          ;5;TAQUARANA;121.0;-36.492844;-9.64529
AL;TEOTÔNIO VILELA                    ;5;TEOTÔNIO VILELA;122.0;-36.349212;-9.916562
AL;TRAIPU                             ;1;TRAIPU;123.0;-37.007119;-9.962625
AL;UNIÃO DOS PALMARES                 ;13;UNIÃO DOS PALMARES;124.0;-36.02227;-9.15921
AL;VIÇOSA                             ;8;VIÇOSA;125.0;-36.243107;-9.367631
AL;ÁGUA BRANCA                        ;17;ÁGUA BRANCA;24.0;-37.937988;-9.261996
AM;ALVARÃES                           ;30;ALVARÃES;126.0;-64.800654;-3.22727
AM;AMATURÁ                            ;9;AMATURÁ;127.0;-68.200456;-3.374547
AM;ANAMÃ                              ;34;ANAMÃ;166.0;-61.396337;-3.566966
AM;ANORI                              ;25;ANORI;128.0;-61.657485;-3.746027
AM;APUÍ                               ;11;APUÍ;129.0;-59.895956;-7.194091
AM;ATALAIA DO NORTE                   ;7;ATALAIA DO NORTE;130.0;-70.1967;-4.370551
AM;AUTAZES                            ;37;AUTAZES;131.0;-59.125589;-3.585743
AM;BARCELOS                           ;12;BARCELOS;132.0;-62.931053;-0.983373
AM;BARREIRINHA                        ;44;BARREIRINHA;133.0;-57.067897;-2.798863
AM;BENJAMIN CONSTANT                  ;2;BENJAMIN CONSTANT;134.0;-70.034157;-4.37768
AM;BOA VISTA DO RAMOS                 ;4;BOA VISTA DO RAMOS;136.0;-57.587333;-2.974087
AM;BOCA DO ACRE                       ;121;BOCA DO ACRE;137.0;-67.391926;-8.742322
AM;BORBA                              ;6;BORBA;138.0;-59.58738;-4.391539
AM;CAAPIRANGA                         ;2;CAAPIRANGA;139.0;-61.220557;-3.315372
AM;CANUTAMA                           ;28;CANUTAMA;140.0;-64.39528;-6.52582
AM;CARAUARI                           ;118;CARAUARI;141.0;-66.908559;-4.881605
AM;CAREIRO                            ;87;CAREIRO;142.0;-60.369046;-3.768027
AM;CAREIRO DA VÁRZEA                  ;1;CAREIRO DA VÁRZEA;143.0;-59.79639;-3.196979
AM;COARI                              ;12;COARI;144.0;-63.144091;-4.094121
AM;CODAJÁS                            ;6;CODAJÁS;145.0;-62.065787;-3.830528
